State,CityCount,φ(d), λ(d),select,phi,landa
اردبيل,#NAME?,48.12,38.65,#NAME?,#NAME?,#NAME?
اصفهان,#NAME?,52.67,32.57,#NAME?,#NAME?,#NAME?
البرز,#NAME?,50.87,36.02,#NAME?,#NAME?,#NAME?
ايلام,#NAME?,46.92,32.99,#NAME?,#NAME?,#NAME?
آذربايجان شرقي,#NAME?,46.67,38.32,#NAME?,#NAME?,#NAME?
آذربايجان غربي,#NAME?,45.93,38.07,#NAME?,#NAME?,#NAME?
بوشهر,#NAME?,51.39,28.51,#NAME?,#NAME?,#NAME?
تهران,#NAME?,51.79,35.55,#NAME?,#NAME?,#NAME?
چهارمحال وبختياري,#NAME?,50.43,31.89,#NAME?,#NAME?,#NAME?
خراسان جنوبي,#NAME?,58.33,32.81,#NAME?,#NAME?,#NAME?
خراسان رضوي,#NAME?,58.96,35.91,#NAME?,#NAME?,#NAME?
خراسان شمالي,#NAME?,57.37,37.57,#NAME?,#NAME?,#NAME?
خوزستان,#NAME?,49.07,31.27,#NAME?,#NAME?,#NAME?
زنجان,#NAME?,48.31,36.58,#NAME?,#NAME?,#NAME?
سمنان,#NAME?,54.58,35.89,#NAME?,#NAME?,#NAME?
سيستان وبلوچستان,#NAME?,61.42,28.21,#NAME?,#NAME?,#NAME?
فارس,#NAME?,53.22,29.13,#NAME?,#NAME?,#NAME?
قزوين,#NAME?,49.79,36.22,#NAME?,#NAME?,#NAME?
قم,#NAME?,51.07,34.71,#NAME?,#NAME?,#NAME?
كردستان,#NAME?,46.89,35.73,#NAME?,#NAME?,#NAME?
كرمان,#NAME?,57.11,29.09,#NAME?,#NAME?,#NAME?
كرمانشاه,#NAME?,46.79,34.52,#NAME?,#NAME?,#NAME?
كهگيلويه وبويراحمد,#NAME?,50.84,30.48,#NAME?,#NAME?,#NAME?
گلستان,#NAME?,55.21,37.45,#NAME?,#NAME?,#NAME?
گيلان,#NAME?,49.59,37.51,#NAME?,#NAME?,#NAME?
لرستان,#NAME?,48.41,33.52,#NAME?,#NAME?,#NAME?
مازندران,#NAME?,52.32,36.45,#NAME?,#NAME?,#NAME?
مركزي,#NAME?,49.99,34.46,#NAME?,#NAME?,#NAME?
هرمزگان,#NAME?,56.42,26.99,#NAME?,#NAME?,#NAME?
همدان,#NAME?,48.64,34.91,#NAME?,#NAME?,#NAME?
يزد,#NAME?,54.86,31.48,#NAME?,#NAME?,#NAME?
